"id"	"author"	"title"	"subtitle"	"year"	"translator"	"publisher"	"published_location"	"edition"	"comment"	"Alter Link im Kommentar?"	"Online-Ausgabe"	"Kommentar JH"																																																																																	
"7791"	"Unbekannt"	"Über gesunde Kindererziehung nach medizinischen und physikalischen Grundsätzen"	"für sorgsame Aeltern, besonders für Mütter, denen ihre und ihrer Kinder Gesundheit am Herzen liegt"	"1803 [2. Auflage]"	"Gruber, Johann Gottfried (Adolph Grimm, Joseph aus der Grube, Iocosus Hilarius)"	"Baumgärtner"	"Leipzig"	"[2. Auflage]"			"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11106790-7"																																																																																		
"7787"	"David, Jean Pierre"	"Herrn Davids Abhandlung von den Mitteln, die Milch bey Weibern zu verringern, zu vertreiben u.s.w."		"1774"	"Unbekannt"	"Dyck"	"Leipzig"				"https://books.google.fr/books?id=HjpTAAAAcAAJ&pg=PA3#v=onepage&q&f=false"	"Link für 7787 - 7784: https://books.google.fr/books?id=HjpTAAAAcAAJ&pg=PP1#v=onepage&q&f=false"																																																																																	
"7786"	"Levret, André"	"Andreas Levret, von den Krankheiten, die von der zurückgetretenen Milch entstehen [Wahrscheinlich teilübersetzung]"		"1774"	"Unbekannt"	"Dyck"	"Leipzig"				"https://books.google.fr/books?id=HjpTAAAAcAAJ&pg=PA139#v=onepage&q&f=false"																																																																																		
"7785"	"Deleurye, Francois Ange"	"F. A. Deleurye von den Krankheiten, die bey Kindbetterinnen von der zurückgetretenen Milch entstehen"		"1774"	"Unbekannt"	"Dyck"	"Leipzig"				"https://books.google.fr/books?id=HjpTAAAAcAAJ&pg=PA171#v=onepage&q&f=false"																																																																																		
"7784"	"Puzos, Nicolas"	"Herrn Nicolaus Puzos, der königl. franz. Akademie der Wundarzney Mitglieds, Abhandlung von den Milchversetzungen"		"1774"	"Unbekannt"	"Dyck, Johann Gottfried"	"Leipzig"				"https://books.google.fr/books?id=HjpTAAAAcAAJ&pg=PA1#v=onepage&q&f=false"																																																																																		
"7783"	"Mesnard, Jacques"	"Wegweiser der Geburtshelfer, oder der Meister in der Kunst, die Entbindung der Weiber zu befördern und ihnen in denen Kranckheiten und Zufällen, womit sie sehr heimgesuchet werden, einige Erleichterung zu verschaffen : Ein sehr nützliches Werck für diejenigen, welche aus denen Hülfleistungen bey gebährenden Weibern sich ein besonderes Geschäfte zu machen entschlossen sind ; Mit Kupfern / In Frage und Antwort abgefaßt und aus dem Frantzösischen des Jaque Mesnard übersetzet."		"1748"	"Unbekannt"	"Mumme"	"Koppenhagen"				"http://resolver.sub.uni-goettingen.de/purl?PPN66769899X"																																																																																		
"7782"	"Mauquest de la Motte, Guillaume"	"[Tractat von Kranckheiten Schwangerer und Gebährender Weibs-Persohnen] Herrn De La Motte, Chirurgi Jurati und Hebammen-Meisters zu Vallognes Vollkommener Tractat von Kranckheiten Schwangerer und Gebährender Weibs-Personen : In welchem gehandelt wird, Wie denenselben so wohl bey natürlicher als nicht natürlicher Gebährung beyzuspringen, auch der üblen Disposition und Beschaffenheit neugebohrner Kinder zu helffen seye, durch viele Observationen und Reflexionen erkläret"	"Anjetzo aber Zum Erstenmahl Auß dem Frantzösischen in das Teutsche übersetzt, und mit einigen Anmerckungen vermehrt / Durch Johann Gottfried Scheid Medicinæ Doct. & Obstetric. Jurat."	"1732"	"Scheid, Johann Gottfried"	"Johannes Beck"	"Straßburg"				"https://www.digitale-sammlungen.de/de/view/bsb11398796"																																																																																		
"7781"	"Levret, André"	"[Kunst der Geburtshülfe, nach den Gesetzen der Bewegung und Naturlehre] Herrn  Levret  Accoucheur  bey  der Madame  la Dauphine,  Kunst  der Geburtshülfe,  nach  den Gesetzen  der Bewegung  und Naturlehre"	"Aus dem Französischen übersetzt von D. Christian Friedrich Held, der Entbindungskunst in der Herrschaft Gera verordnetem Arzte"	"1772"	"Held, Christian Friedrich"	"Rothe"	"Gera"		"Digitalisierung: http://resolver.sub.uni-goettingen.de/purl?PPN632043407"	"Alten Link prüfen"	"http://resolver.sub.uni-goettingen.de/purl?PPN632043407"																																																																																		
"7780"	"Levret, André"	"Wahrnehmungen von den Ursachen und Zufällen vieler schweren Geburten"		"1758-1761"	"Walbaum, Johann Julius"		"Lübeck"		"Band 1 + 2"		"Band 1 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11451546-1"		"Band 2 http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11451547-6"																																																																																
"7779"	"Baudelocque, Jean-Louis"	"[Anfangsgründe der Geburts-Hülfe] J.  L. Baudelocque,  Geburts-Helfers  zu Paris,  Anfangsgründe  der Geburts-Hülfe"	"Aus dem Französischen übersezt von Christoph Friderich Camerer, der Arzneygelehrsamkeit Doctorn"	"1779"	"Camerer, Christoph Friedrich"	"Heerbrandt"	"Tübingen"				"https://viewer.deutsche-digitale-bibliothek.de/index.php?id=1&tx_dlf[id]=https%3A%2F%2Fapi.deutsche-digitale-bibliothek.de%2Fitems%2FERWOXB67ZUT6PYRDG4MALQWJN45JCCOB%2Fsource%2Frecord&tx_dlf[page]=PHYS_0001"																																																																																		
"7778"	"Unbekannt"	"[Vermehrter und erläuterter Dionis ] Johannis  Timmii  Bremensis,  M.  D. und Practici  vermehrter  und erläuterter  Dionis.  Oder  Anmerckungen  über  des berühmten  Parisischen  Chirurgi  Peter  Dionis,  sehr  curieusen  Tractat  von Erzeugung  und Geburth  der Menschen/ sonderlich  aber  der Geburths-Hülffe,  wie  dieselbe  in Franckreich  von den besten  Chirurgis  verrichtet  wird,  worinnen  nebst  einer accuraten  anatomischen  Beschreibung,  sowohl  der männlichen  als weiblichen  Geburths-Glieder  sehr  deutlich  angezeiget  wird,  auf  was  Art  eine gebährende  Frau  samt  ihrem  Kinde,  durch  geschickte  Application  der Hände,  beym  Leben  zu erhalten,  auch  bewiesen  wird,  daß  solches  nicht  denen  Hebammen  wegen  Mangel  der darzu  erforderten  Kräffte,  sondern  geschickten  Chirurgis  anvertrauet  werden  müsse.  Welchem  noch  hinbeygefüget  sind  Francisci  Mauriceau,  Kurtze  Lehr-Sätze  von der Schwangerschafft  und dem Gebähren,  wie  auch  von den Kranckheiten  und besondern  Eigenschafften  der Frauen"		"1733"	"Unbekannt"		"Frankfurt"				"https://digital.slub-dresden.de/werkansicht/dlf/123961/1"																																																																																		
"7777"	"Mauriceau, François"	"[Tractat von Krankheiten schwangerer und gebärender Weibspersonen ] Francisci Mauriceau Tractat von Kranckheiten schwangerer und gebärender Weibspersonen : In welchem beschrieben wird Die warhafte und eigentliche weise/ wie denselben/ so wol bey natürlicher als nicht natürlicher Gebärung beyzuspringen: auch der übeln disposition und beschaffenheit neugeborner Kindern zu helffen seye ... ; Alles mit nutzlichen Figuren erläuteret und erklärt"	"Anjetzo aber zum erstenmahl allen Chirurgis, Wehe- und Hauß-müttern zum besten/ auß dem Frantzösischen in das Teutsche übersetzet."	"1680"	"Unbekannt"	"Bertsche"	"Basel"				"http://diglib.hab.de/drucke/xb-7529/start.htm"																																																																																		
"7776"	"Mauriceau, François"	"[Siebenhundert Observationes] Des berühmten Frantzös. Chirurgi Francisci Mauriceau Siebenhundert Observationes, : Welche er in seiner Praxi ... angemercket Und ... erkläret hat"	"anietzo ins Teutsche übersetzet von Martino Schurigen"	"1709"	"Unbekannt"	"Winckler"	"Dresden"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10085648-8"																																																																																		
"7775"	"Joubert, Laurent"	"Laurentii Iouberti Des berümten/ Kön: Majest. in Franckreich/ Henrici ... Leibartzten ... Von des Pöfels/ so die Artzney/ so die Artzte verleumbdenden Irrthumben/ und hochschädlichen Mißverständen : Heylsamer/ Leswürdiger Bericht ; Hiebevor in Teutscher sprach noch nie außgangen / Jetzo aber durch Sebastian Meyern/ von Landsperg in obern Beyern ... zu nutz und wolfart in Teutsch versetzt"		"1601"	"Meyer, Sebastian"	"Waldkirch"	"Basel"				"http://data.onb.ac.at/ABO/%2BZ176946407"																																																																																		
"7774"	"L\'Héritier, Louis-François"	"Jedermann sein eigener Arzt : eine Anweisung zur Abwendung und Heilung der Krankheiten durch einfache und wohlfeile Mittel ;"	"nach der Methode Raspail\'s vervollständigt / von den Dubois und Joubert. Dt. bearb. von W. v. R"	"1845"	"Unbekannt"	"Brockhaus u. Avenarius"	"Leipzig"																																																																																						
"7773"	"Rey, J.L."	"Die öffentliche und heimliche Prostitution und die prostituirten Frauen"		"1847"	"L.H."	"Verlags-Comptoir"	"Grimma"	"2.verb. Aufl. ebd.1851"	"digital. Version: http://books.google.de/books?id=SORAAAAAcAAJ&printsec=frontcover&dq=%22Die+%C3%B6ffentlichen+und+heimlichen+prostituierten&source=bl&ots=2VFjTRQrhx&sig=EHwDMv4cVDWRMmagjy0uq99SbnE&hl=de&ei=XBOLTa7AMY7FtAaBo7ifCg&sa=X&oi=book_result&ct=result&resnum=7&ved=0CDkQ6AEwBg#v=onepage&q&f=false [13.03.11]"	"Alten Link prüfen"	"https://books.google.de/books?id=SORAAAAAcAAJ&dq=%22Die%20%C3%B6ffentlichen%20und%20heimlichen%20prostituierten&hl=de&pg=PR1#v=onepage&q&f=false"																																																																																		
"7772"	"Metternich, Klemens Wenzel Nepomuk Lothar von"	"Memoiren des Fürsten Metternich"		"1849"	"Fort, Ludwig"	"Verlags-Comptoir"	"Grimma"		"Werk in Bibliotheken nicht nachgewiesen; entnommen aus: aus Fromm,H. (1950-53): Bibliographie deutscher Übersetzungen aus dem Französischen. 1700-1748. Band VI. S.396 [28429]."																																																																																				
"7771"	"Metternich, Klemens Wenzel Nepomuk Lothar von"	"Auszüge aus den geheimen Memoiren des Fürsten Metternich"		"1849"	"Simon, Louis"	"Voigt"	"Weimar"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10065101-4"																																																																																		
"7770"	"Leibniz, Gottfried Wilhelm"	"Leibnitz\' Monadologie"	"deutsch mit einer Abhandlung über Leibnitz\' und Herbart\'s Theorieen des wirklichen Geschehens von Robert Zimmermann"	"1847"	"Unbekannt"	"Braumüller&Seidel"	"Wien"				"https://books.google.fr/books?id=Y3dZAAAAcAAJ&pg=PP7#v=onepage&q&f=false"																																																																																		
"7769"	"Saint-René Taillandier, René Gaspard Ernest"	"Die gegenwärtige Krisis der Hegel\'schen Philosophie"	"Mit einer kritischen Einleitung über die Bedeutung der letzten zwölf Jahre in Deutschland, von H. Jellinek"	"1847"	"Unbekannt"	"Weller"	"Leipzig"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10047100-9"																																																																																		
"7768"	"Napoléon III (Charles Louis Napoléon Bonaparte, Napoléon Louis C. Bonaparte)"	"Politisches Glaubensbekenntniß Louis Napoléon Bonaparte\'s"		"1849"	"Brinckmeier, Eduard"	"Basse"	"Quedlinburg"																																																																																						
"7767"	"Thibiage, de"	"Geschichte der berühmtesten Ritterburgen und Schlösser Frankreichs, Englands, Deutschlands, der Schweiz ..."	"nebst deren Sagen, Legenden und den Erzählungen der Heldenthaten ihrer Besitzer"	"1846"	"Hain, Ludwig Friedrich Theodor"	"Garcke"	"Merseburg"		"mehrbändiges Werk"		"Band 1 http://data.onb.ac.at/ABO/%2BZ221516305"		"Band 2 http://data.onb.ac.at/ABO/%2BZ221516408"																																																																																
"7766"	"Soret, Frédéric Jacob"	"Goethes Unterhaltungen mit Friedrich Soret"		"1905"	"Unbekannt"	"Böhlau"	"Weimar"				"http://archive.org/details/goethesunterhal00goetgoog"																																																																																		
"7765"	"Unbekannt"	"Das Neue Deutschland"		"1849"	"Schilling, Gustav"	"Rieger"	"Stuttgart"				"http://data.onb.ac.at/ABO/%2BZ258418702"																																																																																		
"7764"	"Robiano, Louis Marie Joseph François de Sales /de"	"Neururgie oder der thierische Magnetismus nach mehreren neuen Erscheinungen bereichert, bewiesen und veranschaulicht"		"1849"	"Schöfflen, Wilhelm"	"Rümelin"	"Stuttgart"		"übersetzt nach der 3.Aufl.des Originals"		"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10288429-2"																																																																																		
"7763"	"Robespierre, Maximilien de"	"Eine alte Rede über die Preßfreiheit, besser als viele neue!"		"1848"	"Unbekannt"	"Müller"	"Creutzburg"		"In Bibliotheken nicht nachgewiesen; entnommen aus: Fromm, H. (1950-53): Bibliographie deutscher Übersetzungen aus dem Französischen1700-1948. Bd. V, S.313 [22108]"		"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10563158-2"																																																																																		
"7762"	"Suchet, Louis Gabriel"	"Blokade, Belagerung und Eroberung von Tortosa durch das französische Armeekorps im Jahre 1810/11 und Vertheidigung von Monzon durch die Franzosen im Jahre 1813/14"		"1847"	"Riegel, Franz Xaver"	"Schwan & Götz"	"Mannheim"				"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11250241-5"																																																																																		
"7761"	"Marx, Karl"	"Rede über die Frage des Freihandels"		"1848"	"Weydemeyer, Joseph"	"Schultz"	"Hamm"		"in Bibliotheken nicht nachgewiesen; entnommen aus: Fromm (1951-53): Bibliographie deutscher Übersetzungen aus dem Französischen 1700-1948. Bd. VI.S. 393 [28400]"																																																																																				
